, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,62.28%,58.90%,56.19%,60.34%,59.42%
2, ,Stnd CL,47.64%,44.95%,42.57%,50.06%,45.96%
3, ,Farm,43.56%,51.75%,58.44%,46.50%,37.91%
4, ,Other CL,1.24%,1.53%,3.22%,0.63%,1.28%
5, ,Grand Total,59.98%,57.15%,54.82%,58.70%,57.13%
