, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,61.06%,58.19%,56.09%,60.24%,51.41%
2, ,Stnd CL,51.16%,44.01%,41.50%,48.93%,53.21%
3, ,Farm,48.05%,52.46%,55.89%,46.65%,44.50%
4, ,Other CL,1.12%,1.49%,3.21%,0.63%,5.65%
5, ,Grand Total,59.50%,56.47%,54.53%,58.51%,51.33%
6, , , , , , , 
