, , ,Prior YTD DWP,Curr. YTD DWP,YTD DWP Growth,Prior YE DWP,12MM DWP,Prior YTD NB DWP,Curr. YTD NB DWP
1, ,PL,"115,496,589","112,349,047",-2.73%,"1,486,126,945","$1,482,979,403","4,368,914","4,304,458"
2, ,Stnd CL,"15,944,753","14,999,712",-5.93%,"184,544,628","$183,599,587","1,015,551","970,007"
3, ,Farm,"5,316,419","5,172,784",-2.70%,"61,425,604","$61,281,969","148,258","122,225"
4, ,Other CL,"232,379","234,178",0.77%,"941,930","$943,729","22,565","24,503"
5, ,Grand Total,"136,990,140","132,755,721",-3.09%,"1,733,039,107","$1,728,804,688","5,555,287","5,421,194"
