, , ,12MM PIF Growth,Curr. PIF,Curr. YTD NB PIF,Prior YE PIF,Prior YTD NB PIF,Prior YTD PIF
1, ,PL,7.85%,"529,151","12,690","547,053","14,202","574,218"
2, ,Stnd CL,-6.31%,"35,441","1,411","36,399","1,352","37,829"
3, ,Farm,-4.07%,"10,047",164,"10,224",156,"10,473"
4, ,Other CL,1.69%,"3,076",492,"2,611",554,"3,025"
5, ,Grand Total,-7.65%,"577,715","14,757","596,287","16,264","625,545"
