, , ,Prior YTD DWP,Curr. YTD DWP,YTD DWP Growth,Prior YE DWP,12MM DWP,Prior YTD NB DWP,Curr. YTD NB DWP
1, ,PL,"609,212,581","592,088,533",-2.81%,"1,480,293,449","$1,463,169,401","24,249,440","24,193,686"
2, ,Stnd CL,"79,088,481","78,370,445",-0.91%,"182,189,333","$181,471,297","6,625,351","6,339,927"
3, ,Farm,"29,170,838","29,363,233",0.66%,"62,841,223","$63,033,618","856,562","783,547"
4, ,Other CL,"436,152","471,335",8.07%,"927,956","$963,139","176,937","173,531"
5, ,Grand Total,"717,908,052","700,293,545",-2.45%,"1,726,251,962","$1,708,637,455","31,908,290","31,490,690"
