, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,63.10%,59.02%,56.16%,60.31%,61.48%
2, ,Stnd CL,49.10%,45.79%,42.57%,50.24%,48.44%
3, ,Farm,47.00%,52.27%,58.32%,46.38%,45.83%
4, ,Other CL,1.24%,1.53%,3.22%,0.63%,0.95%
5, ,Grand Total,60.96%,57.37%,54.79%,58.70%,59.45%
