, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,62.96%,58.92%,56.24%,59.64%,61.24%
2, ,Stnd CL,48.68%,44.57%,41.96%,50.65%,44.92%
3, ,Farm,39.27%,42.73%,42.52%,43.84%,33.66%
4, ,Other CL,-0.27%,0.03%,-0.17%,-0.47%,-0.25%
5, ,Grand Total,60.54%,56.83%,54.26%,58.09%,58.46%
