, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,62.51%,58.88%,56.14%,60.91%,59.26%
2, ,Stnd CL,46.76%,45.54%,42.92%,49.57%,46.33%
3, ,Farm,48.27%,60.49%,73.86%,49.17%,44.38%
4, ,Other CL,2.71%,3.01%,6.71%,1.70%,2.70%
5, ,Grand Total,60.20%,57.44%,55.24%,59.21%,57.24%
