, , ,12MM LR,36MM LR,Prior YE LR,YE LR,YTD LR
1, ,PL,62.01%,58.92%,56.24%,59.64%,59.60%
2, ,Stnd CL,48.86%,44.13%,42.10%,50.72%,45.45%
3, ,Farm,38.58%,42.67%,42.72%,43.66%,31.07%
4, ,Other CL,-0.27%,0.01%,-0.17%,-0.47%,-0.25%
5, ,Grand Total,59.71%,56.79%,54.29%,58.08%,57.00%
